nupdates,Name,clipfrac,serial_timesteps,total_timesteps,EpLenMean,trial,value_loss,loss_ent,explained_variance,fps,policy_loss,approxkl,EpRewMean,time_elapsed,Iteration
120,PP02-awake,0.080517575,245760,245760,913.9,0,0.00050884846,1.9074347,0.9593972004950047,412,-0.0057326253,0.0064820265,-43.753491489999995,541.503014087677,120
121,PP02-awake,0.11118164,247808,247808,913.9,0,0.00092783535,1.8927962,0.8885776922106743,542,-0.0050761565,0.00840672,-41.737566429999994,545.2813029289246,121
122,PP02-awake,0.095898435,249856,249856,913.9,0,0.0013305084,1.8939501,0.839106485247612,533,-0.007126689,0.007428157,-41.100906089999995,549.1228177547455,122
123,PP02-awake,0.049121093,251904,251904,913.9,0,0.001197185,1.9079514,0.8654759377241135,533,-0.00304821,0.0043641077,-40.3299196,552.9627809524536,123
124,PP02-awake,0.09101562,253952,253952,910.59,0,0.007984217,1.9221048,0.5706071853637695,467,-0.0065805963,0.007415985,-40.03537349,557.3459296226501,124
125,PP02-awake,0.08891602,256000,256000,909.49,0,0.011010842,1.9583247,0.7126804292201996,537,-0.0033479151,0.00696631,-44.299337959999995,561.1587295532227,125
126,PP02-awake,0.05629883,258048,258048,904.4,0,0.011278095,1.984185,0.18929767608642578,667,-0.002168425,0.005121607,-46.41586325,564.2271590232849,126
127,PP02-awake,0.07529297,260096,260096,902.83,0,0.003579778,1.9826466,0.24328380823135376,472,-0.006022551,0.0062481356,-46.10988455,568.5583791732788,127
128,PP02-awake,0.061083984,262144,262144,906.24,0,0.004728669,1.9929836,0.6170023679733276,373,0.0029464695,0.0055554616,-46.634612829999995,574.0381500720978,128
129,PP02-awake,0.06313477,264192,264192,905.41,0,0.0010387708,1.9943562,0.8126211017370224,527,-0.0032826278,0.005401269,-47.76799997999999,577.9234981536865,129
130,PP02-awake,0.057861328,266240,266240,904.23,0,0.0006356789,1.9777765,0.9337709471583366,523,-0.0013562342,0.0050887237,-49.09315236999999,581.8366558551788,130
131,PP02-awake,0.10869141,268288,268288,904.23,0,0.0009995776,1.949037,0.8115253895521164,640,-0.0052762786,0.0086412225,-48.79635774999999,585.0343544483185,131
132,PP02-awake,0.08251953,270336,270336,902.97,0,0.0005714268,1.9377635,0.9130392819643021,406,-0.0091618,0.0069922777,-49.66631176,590.0788292884827,132
133,PP02-awake,0.089746095,272384,272384,903.81,0,0.00028881332,1.9271536,0.9485684931278229,546,-0.0071029076,0.007278516,-49.58705022,593.8236742019653,133
134,PP02-awake,0.06669922,274432,274432,903.44,0,0.0005040638,1.9246397,0.9508110657334328,624,-0.0020798035,0.005492266,-49.71481557999999,597.1009376049042,134
135,PP02-awake,0.08666992,276480,276480,903.44,0,0.00038161635,1.9103638,0.8897851780056953,466,-0.004730236,0.0071151406,-49.12592945,601.4905323982239,135
136,PP02-awake,0.06557617,278528,278528,903.44,0,0.0004419453,1.9016631,0.9379184506833553,541,-0.0047765286,0.0054748403,-50.64183527000001,605.2738370895386,136
137,PP02-awake,0.10522461,280576,280576,899.0,0,0.0054166466,1.9264276,0.7098385989665985,607,-0.009028384,0.008103267,-52.995879779999996,608.6465699672699,137
138,PP02-awake,0.07773437,282624,282624,899.0,0,0.0027825257,1.949564,0.477131187915802,453,-0.006050576,0.0065078055,-53.538134570000004,613.1623938083649,138
139,PP02-awake,0.09516601,284672,284672,899.0,0,0.00052205677,1.9394484,0.8666218221187592,413,-0.0042527984,0.0073098615,-52.93169317000001,618.1165437698364,139
140,PP02-awake,0.09814453,286720,286720,902.26,0,0.0004794076,1.9116094,0.9201159998774529,440,-0.005487097,0.007907657,-52.98899649,622.7669293880463,140
141,PP02-awake,0.057763673,288768,288768,900.35,0,0.01259614,1.9078455,0.20932471752166748,579,-0.004109064,0.0050247116,-54.44487844,626.2985458374023,141
142,PP02-awake,0.103564456,290816,290816,895.48,0,0.008588933,1.9183941,0.5216052830219269,504,-0.004814892,0.008929534,-55.42184263,630.3611304759979,142
143,PP02-awake,0.09047852,292864,292864,896.43,0,0.0004251884,1.9145008,0.9315419048070908,424,-0.004504343,0.007150641,-54.40888561,635.1875319480896,143
144,PP02-awake,0.09345703,294912,294912,894.65,0,0.00065988064,1.906748,0.9218005239963531,494,-0.009467018,0.008109575,-55.35717595999999,639.3332498073578,144
145,PP02-awake,0.115478516,296960,296960,897.16,0,0.00042032334,1.902379,0.9450325630605221,408,-0.003342294,0.008751425,-56.18835417,644.3450939655304,145
146,PP02-awake,0.061865233,299008,299008,898.83,0,0.0020028418,1.8773457,0.786230280995369,516,-0.0064307526,0.0057742577,-54.64917085000001,648.3124747276306,146
147,PP02-awake,0.07001953,301056,301056,902.64,0,0.00030511452,1.8356568,0.9407389685511589,482,-0.00364656,0.0062889196,-53.35123171,652.5571496486664,147
148,PP02-awake,0.0902832,303104,303104,905.12,0,0.0013780065,1.8065786,0.7802858352661133,578,-0.0066539245,0.0073354365,-52.94071199,656.0990030765533,148
149,PP02-awake,0.0859375,305152,305152,907.65,0,0.00046900118,1.8001257,0.9475974142551422,472,-0.0046895784,0.0069893138,-54.66672256999999,660.4368751049042,149
150,PP02-awake,0.08344726,307200,307200,907.65,0,0.0006282128,1.8051853,0.7722987681627274,590,-0.0027887314,0.0064748027,-55.08033076999999,663.9057824611664,150
151,PP02-awake,0.0984375,309248,309248,909.94,0,0.000529126,1.8126475,0.9493219517171383,473,-0.006839392,0.0077113113,-57.19522696,668.2334270477295,151
152,PP02-awake,0.1149414,311296,311296,905.62,0,0.00693975,1.7983297,0.6251218318939209,569,-0.0014181765,0.008749137,-58.07292401999999,671.8295698165894,152
153,PP02-awake,0.08681641,313344,313344,905.87,0,0.0070416727,1.7945719,0.711702823638916,508,-0.0057756724,0.0073903673,-59.18897387999999,675.856785774231,153
154,PP02-awake,0.113183595,315392,315392,904.66,0,0.0068037086,1.7907169,0.6128680109977722,650,-0.007210015,0.0081802225,-60.842611659999996,679.0053329467773,154
155,PP02-awake,0.070214845,317440,317440,901.09,0,0.0007412867,1.7936709,0.7258337736129761,547,-0.007200443,0.0058764867,-59.00882127999999,682.7482779026031,155
156,PP02-awake,0.07998047,319488,319488,902.52,0,0.0017580803,1.7857326,0.9163436740636826,453,-0.0014455157,0.0065838606,-60.08246576,687.2636919021606,156
157,PP02-awake,0.07866211,321536,321536,902.52,0,0.00039009785,1.7558848,0.9387239068746567,450,-0.0022441777,0.0064097075,-60.85294543,691.8109591007233,157
158,PP02-awake,0.120751955,323584,323584,899.31,0,0.010332073,1.7842367,0.1105419397354126,532,-0.0052579674,0.009464795,-62.18582656,695.6603248119354,158
159,PP02-awake,0.09301758,325632,325632,905.38,0,0.0011464969,1.8190111,0.9008852392435074,529,-0.003197054,0.007171862,-60.081271169999994,699.5250945091248,159
160,PP02-awake,0.09233399,327680,327680,901.39,0,0.0009882249,1.8257796,0.8481789380311966,604,-0.0042088786,0.007092905,-59.35930157999999,702.9129986763,160
161,PP02-awake,0.07851563,329728,329728,897.98,0,0.016039481,1.837925,0.46862149238586426,564,-0.0014285588,0.006603133,-61.522026270000005,706.5389361381531,161
162,PP02-awake,0.066064455,331776,331776,899.49,0,0.0008059394,1.8430378,0.8810349032282829,534,-0.0038848587,0.0055850805,-59.57883293,710.3713824748993,162
163,PP02-awake,0.085595705,333824,333824,906.6,0,0.0011288747,1.8269808,0.8592081665992737,408,-0.003996231,0.0068024015,-58.16773738999999,715.3843111991882,163
164,PP02-awake,0.055859376,335872,335872,903.2,0,0.0013420202,1.804735,0.8400610536336899,600,-0.0024588401,0.0049833804,-56.250045140000005,718.7931699752808,164
