EpThisIter,entropy,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,surrgain,optimgain,EpisodesSoFar,ev_tdlam_before,Iteration,trial,meankl,entloss
5,1.496226,92000,200.0,-846.9417388271643,46.34796619415283,0.013940243,0.013940243,460,9.775161743164062e-06,90,0,0.0062654587,0.0
5,1.5013124,93000,200.0,-845.852751465675,46.80140995979309,0.016310861,0.016310861,465,8.64267349243164e-06,91,0,0.0073329443,0.0
6,1.5221786,94200,200.0,-862.1847350586279,47.26425909996033,0.020549577,0.020549577,471,9.47713851928711e-06,92,0,0.007768085,0.0
5,1.5303326,95200,200.0,-863.3481516444714,47.72006702423096,0.019251075,0.019251075,476,7.510185241699219e-06,93,0,0.006891364,0.0
5,1.5432109,96200,200.0,-861.344617411741,48.17953395843506,0.017627593,0.017627593,481,1.1622905731201172e-05,94,0,0.0069885235,0.0
5,1.5660188,97200,200.0,-861.4250955965647,48.63721513748169,0.021526119,0.021526119,486,1.609325408935547e-05,95,0,0.0074932585,0.0
5,1.5545068,98200,200.0,-851.8499961357613,49.09859919548035,0.016971419,0.016971419,491,1.9311904907226562e-05,96,0,0.007017435,0.0
5,1.5499858,99200,200.0,-871.5725071130291,49.56530022621155,0.020724885,0.020724885,496,2.0563602447509766e-05,97,0,0.007920451,0.0
5,1.5655231,100200,200.0,-844.4896062760648,50.01442813873291,0.017862692,0.017862692,501,2.1219253540039062e-05,98,0,0.0068116905,0.0
5,1.5688194,101200,200.0,-879.4573879231575,50.477734088897705,0.015232756,0.015232756,506,2.3186206817626953e-05,99,0,0.006653498,0.0
6,1.5905684,102400,200.0,-879.9033487030522,50.93761205673218,0.017252367,0.017252367,512,3.0994415283203125e-05,100,0,0.0069619147,0.0
5,1.5948868,103400,200.0,-888.7618547986342,51.384117126464844,0.015891684,0.015891684,517,6.324052810668945e-05,101,0,0.0069417194,0.0
5,1.5883812,104400,200.0,-897.4024107809943,51.83468508720398,0.017049087,0.017049087,522,9.334087371826172e-05,102,0,0.006586993,0.0
