policy_loss,value_loss,explained_variance,EpRewMean,Iteration,serial_timesteps,fps,trial,loss_ent,total_timesteps,nupdates,approxkl,Name,clipfrac,time_elapsed,EpLenMean
-0.0013025174,0.006265598,0.8421336114406586,20.4206416,105,215040,593,0,1.2473557,215040,105,0.005873203,PP02,0.068554685,441.8529076576233,658.32
-0.00289716,0.004880232,0.7206344604492188,21.281018130000003,106,217088,476,0,1.2396649,217088,106,0.008218709,PP02,0.11166992,446.1504719257355,653.04
-0.0039861086,0.006249883,0.6675722301006317,22.279645449999997,107,219136,491,0,1.2335498,219136,107,0.007848809,PP02,0.0993164,450.313658952713,651.1
-0.004020258,0.0160709,0.07692450284957886,26.06699088,108,221184,631,0,1.222894,221184,108,0.0078067407,PP02,0.10258789,453.5563497543335,634.3
-0.007605889,0.008667709,0.740470826625824,24.777891520000004,109,223232,508,0,1.1946076,223232,109,0.009938259,PP02,0.12978515,457.5838530063629,626.35
-0.0013878789,0.0012495692,0.6703790128231049,24.7151012,110,225280,539,0,1.1704862,225280,110,0.006465914,PP02,0.084179685,461.3824038505554,631.98
-0.005457329,0.0014694767,0.8776770085096359,27.023455320000004,111,227328,545,0,1.135235,227328,111,0.0067572286,PP02,0.08232422,465.14050126075745,633.25
-0.0016407317,0.011197964,0.7872648686170578,29.873136190000004,112,229376,566,0,1.1105498,229376,112,0.0059932647,PP02,0.07504883,468.7565667629242,632.3
-0.0026595776,0.007935097,0.7249199151992798,32.320248279999994,113,231424,514,0,1.1008041,231424,113,0.009232105,PP02,0.12192383,472.7363975048065,637.95
-0.0028101623,0.0038063761,0.7749774307012558,34.487218909999996,114,233472,588,0,1.0933425,233472,114,0.008050679,PP02,0.10869141,476.2162594795227,638.22
-0.0045513427,0.0059649358,0.8662927448749542,34.460862479999996,115,235520,555,0,1.0693693,235520,115,0.007082388,PP02,0.075976565,479.9024534225464,640.38
0.00053138257,0.010293627,0.3951713442802429,35.806543330000004,116,237568,624,0,1.0307521,237568,116,0.007505992,PP02,0.092285156,483.18472504615784,640.71
-0.003330464,0.005563467,0.8815550431609154,38.564104840000006,117,239616,533,0,1.0012639,239616,117,0.0064477785,PP02,0.08125,487.0224299430847,632.71
-0.0089068115,0.028911483,-0.46815335750579834,41.84582397,118,241664,670,0,1.0022253,241664,118,0.008836652,PP02,0.100048825,490.0784149169922,639.56
-0.0028749132,0.0013869937,0.6875357627868652,41.15590458,119,243712,474,0,0.9924482,243712,119,0.0083628725,PP02,0.10566406,494.3981559276581,639.56
-0.0031567272,0.0026410155,0.8843278288841248,44.54746243,120,245760,632,0,0.9570489,245760,120,0.006032647,PP02,0.07109375,497.63789224624634,639.06
-0.0040271403,0.01683728,0.3181810975074768,50.11534912,121,247808,605,0,0.92399347,247808,121,0.008496533,PP02,0.10126953,501.0178179740906,637.1
-0.007702881,0.013443166,-0.16690564155578613,49.82338528000001,122,249856,538,0,0.90228367,249856,122,0.009130665,PP02,0.12006836,504.8206021785736,644.48
-0.0043272623,0.008418439,0.674450546503067,49.41957491000001,123,251904,579,0,0.8871609,251904,123,0.010398755,PP02,0.13979492,508.3528699874878,647.54
-0.0038534724,0.010006986,0.5791275203227997,51.18005975,124,253952,611,0,0.85841334,253952,124,0.0092153875,PP02,0.12207031,511.70092010498047,646.51
-0.0018043469,0.0017846124,0.7037933766841888,50.552680460000005,125,256000,473,0,0.8338336,256000,125,0.0061025107,PP02,0.07675781,516.0287964344025,646.95
-0.005109494,0.0011275228,0.9220916852355003,52.88205319000001,126,258048,452,0,0.80906326,258048,126,0.0093731545,PP02,0.13002929,520.5587339401245,648.22
