nupdates,value_loss,total_timesteps,trial,Name,fps,EpRewMean,Iteration,approxkl,EpLenMean,explained_variance,policy_loss,serial_timesteps,time_elapsed,loss_ent,clipfrac
107,0.04228807,219136,0,PP02,1292,74.64413153000001,107,0.01418474,1159.34,0.8577443361282349,-0.023176411,219136,217.58915328979492,4.1442156,0.1878418
108,0.0020891149,221184,0,PP02,1299,76.82686441000001,108,0.013321256,1156.96,0.39100730419158936,-0.025087167,221184,219.16545844078064,4.114106,0.18452148
109,0.02000823,223232,0,PP02,1296,79.52139829999999,109,0.013460614,1150.11,0.8802078664302826,-0.01627003,223232,220.7452790737152,4.108333,0.18110351
110,0.020652909,225280,0,PP02,1301,80.57881655,110,0.012879956,1137.91,0.8591088950634003,-0.021241661,225280,222.31863117218018,4.1091948,0.18286133
111,0.014233624,227328,0,PP02,1282,82.73731364,111,0.014740793,1128.5,0.9225600957870483,-0.028030947,227328,223.91644144058228,4.083944,0.20322266
112,0.0016681881,229376,0,PP02,1309,86.03677599000001,112,0.013319628,1138.32,0.7470393776893616,-0.031213809,229376,225.4806535243988,4.0409193,0.18295899
113,0.017620249,231424,0,PP02,1299,91.26586882999999,113,0.019219615,1147.46,0.8884032964706421,-0.027091062,231424,227.05709171295166,4.004576,0.22006837
114,0.0021598367,233472,0,PP02,1295,92.92462722999998,114,0.01423953,1144.56,0.3783729076385498,-0.023538226,233472,228.63776659965515,3.9817405,0.20249024
115,0.044060297,235520,0,PP02,1294,94.64809020999999,115,0.013112925,1127.43,0.8686788529157639,-0.019025221,235520,230.2205948829651,3.9602332,0.18032226
116,0.0019569276,237568,0,PP02,1301,96.08870241999999,116,0.013302376,1124.62,0.26210886240005493,-0.025862131,237568,231.79576969146729,3.937423,0.17978516
117,0.0040312624,239616,0,PP02,1306,99.74791851999998,117,0.016118346,1118.55,0.2810761332511902,-0.02444817,239616,233.36400651931763,3.9361005,0.21669921
118,0.0023940743,241664,0,PP02,1316,101.47907880999999,118,0.014229484,1115.84,0.275127112865448,-0.023895131,241664,234.92001008987427,3.9258575,0.1972168
119,0.0155617865,243712,0,PP02,1287,105.7559556,119,0.0136029795,1112.7,-0.013712167739868164,-0.017360529,243712,236.51080441474915,3.9199784,0.17988281
120,0.042883538,245760,0,PP02,1297,110.42906683000002,120,0.014527775,1118.21,0.8630531281232834,-0.022324208,245760,238.08981108665466,3.93005,0.20766601
121,0.029792745,247808,0,PP02,1297,113.14663296,121,0.015709866,1121.17,0.8294450044631958,-0.024025777,247808,239.6688506603241,3.9219518,0.2100586
122,0.025086248,249856,0,PP02,1284,118.31106684000001,122,0.015994418,1137.38,0.8409882187843323,-0.02373282,249856,241.26395630836487,3.9248633,0.2065918
123,0.006439758,251904,0,PP02,1296,121.28922152,123,0.015486537,1142.41,0.51131471991539,-0.02780141,251904,242.84373259544373,3.9191391,0.19223633
124,0.0046873065,253952,0,PP02,1290,126.01272728,124,0.015023825,1150.57,0.2677740454673767,-0.026747394,253952,244.43064427375793,3.8786747,0.21230468
125,0.028832823,256000,0,PP02,1289,130.25339382,125,0.014328992,1153.17,0.836497500538826,-0.021285491,256000,246.01859402656555,3.8403554,0.19511719
126,0.0020260906,258048,0,PP02,1312,132.96815585000002,126,0.014140511,1153.09,0.35923439264297485,-0.022485396,258048,247.5794870853424,3.8478456,0.19956055
127,0.0816689,260096,0,PP02,1287,136.67135457999998,127,0.013863075,1153.45,0.7119985818862915,-0.021862833,260096,249.17058420181274,3.8552213,0.16948242
128,0.0044332226,262144,0,PP02,1284,142.59323304,128,0.014356526,1156.2,0.19574213027954102,-0.027063344,262144,250.7651345729828,3.8401952,0.20024414
129,0.0024113774,264192,0,PP02,1296,144.03308241000002,129,0.013576871,1151.96,0.28821033239364624,-0.022114098,264192,252.34528279304504,3.7986894,0.18457031
130,0.0039908825,266240,0,PP02,1298,148.71545585,130,0.014342265,1158.9,0.3727344274520874,-0.023166567,266240,253.9229063987732,3.7586906,0.19941406
131,0.0041575665,268288,0,PP02,1287,153.05268557,131,0.016336644,1156.07,0.34336215257644653,-0.024794351,268288,255.51332259178162,3.7428384,0.22441407
132,0.07858596,270336,0,PP02,1296,153.60259829999998,132,0.01510972,1139.1,0.7205185294151306,-0.024285087,270336,257.0930531024933,3.7506118,0.18603516
133,0.0045631025,272384,0,PP02,1279,155.79369375,133,0.015893148,1131.21,0.3078649640083313,-0.025840882,272384,258.6935484409332,3.755896,0.22138672
134,0.0043735704,274432,0,PP02,1298,160.76126482,134,0.015507336,1138.14,0.41093409061431885,-0.02310137,274432,260.2714333534241,3.714169,0.2046875
135,0.025951242,276480,0,PP02,1281,161.15974414000002,135,0.015747892,1126.49,0.8706053793430328,-0.01848631,276480,261.86946749687195,3.6694589,0.21694335
136,0.0026802043,278528,0,PP02,1291,161.99325810000002,136,0.015697226,1122.12,0.17842817306518555,-0.024609353,278528,263.45521450042725,3.63591,0.2154297
137,0.0042805793,280576,0,PP02,1293,166.53478854000002,137,0.014412165,1126.9,0.24640291929244995,-0.02152621,280576,265.0383973121643,3.6148827,0.2015625
138,0.03144247,282624,0,PP02,1288,168.97584631,138,0.014647124,1128.47,0.8216226100921631,-0.019173175,282624,266.62810230255127,3.618032,0.19350585
139,0.0049588014,284672,0,PP02,1287,173.94208311,139,0.01730105,1135.54,0.4585273861885071,-0.026454723,284672,268.2192611694336,3.5966954,0.22456054
140,0.0027806165,286720,0,PP02,1318,174.49033999000002,140,0.013716194,1132.35,0.6743907034397125,-0.024005665,286720,269.7726275920868,3.5643735,0.1883789
141,0.017128482,288768,0,PP02,1308,174.84293687999997,141,0.017478552,1121.25,0.909650556743145,-0.02464243,288768,271.33858942985535,3.546257,0.22211914
142,0.004669999,290816,0,PP02,1307,179.66834009000002,142,0.016298246,1122.89,0.2007337212562561,-0.020072537,290816,272.9057660102844,3.552877,0.22333984
143,0.0050440165,292864,0,PP02,1313,185.75145793,143,0.01389871,1131.9,0.27431660890579224,-0.020315891,292864,274.46514534950256,3.5481617,0.19155273
144,0.0046995427,294912,0,PP02,1316,187.04392741000007,144,0.017826535,1123.4,0.41209667921066284,-0.021691857,294912,276.02284359931946,3.5594063,0.23671874
145,0.02886717,296960,0,PP02,1315,188.56541573,145,0.01842749,1121.62,0.8295110613107681,-0.019626107,296960,277.5799765586853,3.5538678,0.22128907
146,0.046599817,299008,0,PP02,1313,190.81175874999997,146,0.019007282,1124.06,0.8730256259441376,-0.018462341,299008,279.1395649909973,3.5682507,0.2402832
147,0.0042133518,301056,0,PP02,1315,194.28172314999995,147,0.017017648,1125.49,0.21376538276672363,-0.027870009,301056,280.6964225769043,3.584877,0.22963867
148,0.0024573535,303104,0,PP02,1321,196.44959743999996,148,0.015684174,1123.95,0.39238089323043823,-0.029807055,303104,282.2469298839569,3.584741,0.21269532
149,0.0045528607,305152,0,PP02,1315,197.17133214,149,0.018035483,1115.67,0.26398175954818726,-0.025648871,305152,283.8040511608124,3.5914974,0.2359375
150,0.0048687966,307200,0,PP02,1312,199.87264192000006,150,0.016745437,1113.52,0.22192037105560303,-0.023007475,307200,285.3642375469208,3.576223,0.22451171
151,0.015898865,309248,0,PP02,1319,197.67383604000003,151,0.016619164,1099.09,0.921167641878128,-0.020430263,309248,286.9163455963135,3.5801792,0.21850586
152,0.004386936,311296,0,PP02,1311,200.8322657,152,0.0160941,1102.79,0.42060238122940063,-0.023521775,311296,288.47791862487793,3.5766118,0.22124024
153,0.035323404,313344,0,PP02,1316,201.20028602,153,0.015213363,1094.65,0.782096728682518,-0.02306952,313344,290.03423953056335,3.5615592,0.20546874
154,0.0028752568,315392,0,PP02,1322,203.2333224,154,0.016915241,1095.27,0.5608623027801514,-0.026556883,315392,291.58313035964966,3.5382447,0.22827148
155,0.003821731,317440,0,PP02,1308,203.50417011,155,0.018229248,1090.71,0.5567382574081421,-0.025459986,317440,293.1488766670227,3.5330722,0.23173828
156,0.0049875085,319488,0,PP02,1310,205.98583784,156,0.018566187,1093.04,0.6007086932659149,-0.029139346,319488,294.7115797996521,3.5119293,0.24511719
157,0.06066672,321536,0,PP02,1306,205.60656958999996,157,0.018686308,1078.55,0.37176603078842163,-0.027097378,321536,296.2791233062744,3.5020032,0.21835938
158,0.003183237,323584,0,PP02,1311,205.79366229,158,0.016516985,1075.41,0.49679839611053467,-0.022549799,323584,297.84097933769226,3.480597,0.22348633
159,0.0049265698,325632,0,PP02,1314,206.04509527000002,159,0.018348629,1071.19,0.30454403162002563,-0.021058809,325632,299.39929723739624,3.469563,0.2397461
160,0.004543313,327680,0,PP02,1315,211.35576921000003,160,0.014173317,1081.9,0.319426953792572,-0.022479787,327680,300.9559106826782,3.4486396,0.20205078
161,0.0050323163,329728,0,PP02,1313,212.87428044999996,161,0.017705366,1079.38,0.3022722601890564,-0.023206014,329728,302.515184879303,3.4183478,0.23701172
162,0.0047803,331776,0,PP02,1315,213.14117696999998,162,0.015540955,1074.52,0.33293652534484863,-0.020914985,331776,304.07290720939636,3.392939,0.21464844
163,0.002835548,333824,0,PP02,1311,215.75485831000003,163,0.016623342,1079.15,0.29088670015335083,-0.022646599,333824,305.6344439983368,3.3801358,0.22226563
