#{"t_start": 1523010276.16183, "env_id": "RockSample"}
r,l,t
-1,5,13.368589
-1,1,13.369113
-1,1,13.369622
-1,2,13.370581
-1,10,13.375344
-2,2,13.376344
-4,20,13.386776
-1,9,13.391056
0,11,13.396565
-1,2,13.39775
-11,35,13.414171
-1,1,13.41474
-3,19,13.423976
-3,4,13.426055
-1,1,13.426605
-5,19,13.436626
-2,5,13.439658
-1,2,13.440778
-2,16,13.448142
-1,1,13.448678
-1,14,13.455476
-1,1,13.456009
0,9,13.46011
-1,3,13.461496
-1,2,13.462458
0,9,13.466905
0,3,13.468696
-1,1,13.469225
-1,4,13.471047
-1,13,13.476989
0,7,13.480176
-2,12,13.485802
-2,3,13.487273
-1,2,13.488255
-2,4,13.49031
-1,1,13.490827
-5,16,13.499662
-2,4,13.501583
-1,2,13.502532
-1,2,13.503471
-3,12,13.509246
0,15,13.516276
-1,1,13.516885
-1,2,13.517842
-2,11,13.522872
-4,16,13.530376
0,17,13.540071
-1,2,13.54105
-5,11,13.546421
-1,1,13.546954
-1,6,13.549928
-1,8,13.553522
-1,1,13.554052
-1,6,13.556894
-1,3,13.558481
-2,6,13.561528
-3,7,13.564784
-2,14,13.571859
-6,20,13.58149
-2,4,13.583965
-1,1,13.584591
-2,15,13.591806
-4,12,13.599029
-2,5,13.601492
-2,3,13.60294
0,5,13.60-5,38,14.03459
-1,3,14.035968
-1,1,14.036512
-1,3,14.03786
-1,2,14.038877
-2,4,14.040375
-1,2,14.041179
-4,16,14.046941
-2,5,14.048863
-2,2,14.049674
-2,5,14.051464
-5,17,14.057822
-1,2,14.058588
-2,2,14.059369
0,3,14.060487
-1,7,14.063109
0,9,14.066345
0,9,14.069546
-1,1,14.069979
0,20,14.076923
-2,11,14.081361
-6,29,14.092386
-1,2,14.093625
-2,8,14.09739
-1,1,14.097896
-1,1,14.098492
-2,25,14.111151
1,16,14.118619
-7,42,0,13,14.784942
-3,5,14.787453
-1,2,14.788431
-1,3,14.789812
-1,1,14.790318
-1,3,14.791706
-1,2,14.792651
-4,35,14.809069
-2,21,14.818834
-1,3,14.820323
-1,7,14.823512
-1,1,14.824064
-2,2,14.825065
-6,46,14.852267
-1,2,14.853526
1,11,14.859706
