fps,EpLenMean,clipfrac,loss_ent,time_elapsed,trial,Iteration,approxkl,explained_variance,policy_loss,Name,EpRewMean,serial_timesteps,value_loss,total_timesteps,nupdates
594,613.53,0.11328125,0.23828062,509.02821803092957,0,135,0.009322636,0.9249366372823715,0.001729869,PP02-llm,117.25682851000002,276480,0.0072256154,276480,135
658,610.37,0.12109375,0.24278975,512.1391260623932,0,136,0.00930262,0.9551600590348244,-0.001569046,PP02-llm,117.05488191,278528,0.0030477715,278528,136
634,613.64,0.12729493,0.23625965,515.3651666641235,0,137,0.009416552,0.8999755382537842,-0.00095579895,PP02-llm,115.65012048,280576,0.008840125,280576,137
633,616.59,0.09277344,0.22321072,518.5980002880096,0,138,0.007460172,0.9247899129986763,-0.001502192,PP02-llm,112.99100138,282624,0.010884343,282624,138
673,616.37,0.11694336,0.20606187,521.6384522914886,0,139,0.015087433,0.9095758274197578,-0.0036455547,PP02-llm,112.0537037,284672,0.008889114,284672,139
656,623.32,0.1038086,0.18056604,524.7575497627258,0,140,0.007995574,0.9134154617786407,0.0048553334,PP02-llm,112.78384711000001,286720,0.011058977,286720,140
553,623.2,0.119384766,0.1760476,528.4601948261261,0,141,0.009769191,0.964776337146759,-0.0016596453,PP02-llm,112.94574318000001,288768,0.0038622066,288768,141
663,619.69,0.14248046,0.15624754,531.549458026886,0,142,0.011218453,0.8884193077683449,-0.00014904179,PP02-llm,111.16040296,290816,0.016371854,290816,142
702,624.84,0.1336914,0.118364215,534.4634799957275,0,143,0.010108219,0.9153856784105301,0.0010042859,PP02-llm,111.85647715,292864,0.012406593,292864,143
656,619.93,0.10839844,0.112578824,537.5845837593079,0,144,0.008900208,0.9033298417925835,0.0029627685,PP02-llm,114.62852629000002,294912,0.017879676,294912,144
611,613.08,0.12114258,0.13298547,540.9348402023315,0,145,0.009664593,0.9356069415807724,-0.0029269352,PP02-llm,115.3302709,296960,0.007816008,296960,145
609,617.28,0.12265625,0.14861314,544.2958843708038,0,146,0.0094479695,0.8899408578872681,0.00045202934,PP02-llm,116.66331156999996,299008,0.010900198,299008,146
537,619.63,0.13232422,0.1432112,548.1035642623901,0,147,0.010239215,0.9053210467100143,-0.0014872958,PP02-llm,115.00687323999999,301056,0.007457799,301056,147
637,619.23,0.13798828,0.14200208,551.3149507045746,0,148,0.010534478,0.921097956597805,-0.005123091,PP02-llm,115.23604721999999,303104,0.008246677,303104,148
679,624.29,0.12636718,0.14172769,554.330005645752,0,149,0.009503928,0.8836843371391296,0.002790706,PP02-llm,114.00329334,305152,0.010430457,305152,149
734,619.18,0.11557617,0.116372846,557.1189758777618,0,150,0.010016557,0.8295349627733231,-0.0046735303,PP02-llm,113.24663031,307200,0.017692236,307200,150
606,615.21,0.1294922,0.089665994,560.4934887886047,0,151,0.010009201,0.9498823583126068,-0.00050886476,PP02-llm,114.81867719999998,309248,0.0075830296,309248,151
547,613.25,0.12407227,0.09112073,564.2374284267426,0,152,0.009115414,0.9142133146524429,0.00085593865,PP02-llm,114.45682660999996,311296,0.011475196,311296,152
638,616.72,0.121191405,0.10520911,567.4462738037109,0,153,0.010481446,0.8696616142988205,0.0038645044,PP02-llm,111.02089989,313344,0.022555932,313344,153
538,618.89,0.104003906,0.11284977,571.2489597797394,0,154,0.007898595,0.9165637865662575,0.001520768,PP02-llm,110.95581225000002,315392,0.014609858,315392,154
405,628.88,0.1416504,0.09937859,576.3009543418884,0,155,0.010764716,0.8271423727273941,0.0026730392,PP02-llm,110.17783481000002,317440,0.019504061,317440,155
561,629.41,0.12597656,0.07752116,579.9493627548218,0,156,0.010167361,0.9528053216636181,-0.0012201252,PP02-llm,110.28330350999998,319488,0.007367602,319488,156
549,631.09,0.15390626,0.06949228,583.6754727363586,0,157,0.01322231,0.8383407592773438,-0.0002955576,PP02-llm,110.07163474000001,321536,0.023230514,321536,157
496,637.73,0.11264648,0.073801,587.799792766571,0,158,0.010318397,0.9302032738924026,0.00059777114,PP02-llm,108.64645573,323584,0.007948088,323584,158
